Level,GRPO pass@1,GRPO pass@128,SFTŌåÆGRPO pass@1,SFTŌåÆGRPO pass@128,SRFT pass@1,SRFT pass@128
L1,0.1786,0.1786,0.6364,0.8214,0.018694196428571418,0.6785714285714286
L2,0.08,0.08,0.3336,0.48,0.004843749999999997,0.32
L3,0.2556,0.26,0.2967,0.38,0.00296875,0.28
L4,0.08,0.08,0.1847,0.4,0.000625,0.06
L5,0.1352,0.14,0.088,0.2,0.0028125,0.26
L6,0.0578,0.06,0.1166,0.38,0.0003125,0.04
L7,0.0333,0.04,0.0508,0.28,0.0,0.0
L8,0.0181,0.02,0.0669,0.34,0.0,0.0
L9,0.0,0.0,0.0266,0.32,0.00015625,0.02
L10,0.0,0.0,0.005,0.06,0.0,0.0
